test_year,timestamp,close,cash,btc,equity_before_action,equity,prob_up,y_pred,action
2016,2016-04-13,423.7340087890625,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.16924144,0,HOLD
2016,2016-04-14,424.2820129394531,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.066671796,0,HOLD
2016,2016-04-15,429.7130126953125,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.2030138,0,HOLD
2016,2016-04-16,430.5719909667969,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.18111987,0,HOLD
2016,2016-04-17,427.3989868164063,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.25589666,0,HOLD
2016,2016-04-18,428.5910034179688,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.3588214,0,HOLD
2016,2016-04-19,435.5090026855469,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.45267084,0,HOLD
2016,2016-04-20,441.3890075683594,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.67768216,1,HOLD
2016,2016-04-21,449.4249877929688,10607.840872247896,0.0,10607.840872247896,10607.840872247896,0.62677515,1,HOLD
2016,2016-04-22,445.7369995117188,0.0,23.768020103262153,10607.840872247896,10594.285965162286,0.6592449,1,BUY
2016,2016-04-23,450.2820129394531,0.0,23.768020103262153,10702.31193568227,10702.31193568227,0.7012129,1,HOLD
2016,2016-04-24,458.5549926757813,0.0,23.768020103262153,10898.9442843692,10898.9442843692,0.64068013,1,HOLD
2016,2016-04-25,461.4259948730469,0.0,23.768020103262153,10967.182322310317,10967.182322310317,0.7798834,1,HOLD
2016,2016-04-26,466.0889892578125,0.0,23.768020103262153,11078.012466588825,11078.012466588825,0.8087477,1,HOLD
2016,2016-04-27,444.68701171875,0.0,23.768020103262153,10569.329834190823,10569.329834190823,0.6641866,1,HOLD
2016,2016-04-28,449.010986328125,0.0,23.768020103262153,10672.102149632443,10672.102149632443,0.43426758,0,HOLD
2016,2016-04-29,455.0969848632813,0.0,23.768020103262153,10816.754285164461,10816.754285164461,0.4561257,0,HOLD
2016,2016-04-30,448.3179931640625,10648.917359953148,0.0,10655.631074177581,10648.917359953148,0.16573483,0,SELL
2016,2016-05-01,451.875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.10651486,0,HOLD
2016,2016-05-02,444.66900634765625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.2345172,0,HOLD
2016,2016-05-03,450.3039855957031,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.1299259,0,HOLD
2016,2016-05-04,446.7219848632813,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.11798322,0,HOLD
2016,2016-05-05,447.97601318359375,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.1091987,0,HOLD
2016,2016-05-06,459.6029968261719,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.16954203,0,HOLD
2016,2016-05-07,458.5360107421875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.11137073,0,HOLD
2016,2016-05-08,458.5480041503906,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.102259286,0,HOLD
2016,2016-05-09,460.4830017089844,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.13176793,0,HOLD
2016,2016-05-10,450.8949890136719,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.15884764,0,HOLD
2016,2016-05-11,452.7279968261719,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.076084614,0,HOLD
2016,2016-05-12,454.7659912109375,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.098935045,0,HOLD
2016,2016-05-13,455.6700134277344,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.10120299,0,HOLD
2016,2016-05-14,455.6709899902344,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.075999,0,HOLD
2016,2016-05-15,457.5679931640625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.08779556,0,HOLD
2016,2016-05-16,454.1629943847656,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.15120912,0,HOLD
2016,2016-05-17,453.7829895019531,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.15773137,0,HOLD
2016,2016-05-18,454.6189880371094,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.17507543,0,HOLD
2016,2016-05-19,438.7149963378906,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.30104032,0,HOLD
2016,2016-05-20,442.6759948730469,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.16043092,0,HOLD
2016,2016-05-21,443.18798828125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.18723494,0,HOLD
2016,2016-05-22,439.322998046875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.16761358,0,HOLD
2016,2016-05-23,444.1549987792969,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.120708704,0,HOLD
2016,2016-05-24,445.9809875488281,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.11044088,0,HOLD
2016,2016-05-25,449.5989990234375,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.07910174,0,HOLD
